CustID,Recency_Weeks,Freq_Weeks,Monetary,Age,NumberProducts,F_FOOD,F_DRINKS,F_TOYS,F_HEALTH_BEAUTY,F_SPORTS_OUTDOOR,F_HOUSE,F_Cleaning,F_MAGAZINES,F_GROSSERIES,F_PLANTS_ANIMALS,F_CLOTHES,F_BABY,F_ENTERTAINMENT,F_COMPUTERS,F_SOUND_IMAGE,F_APPLIANCES,M_FOOD,M_DRINKS,M_TOYS,M_HOUSE,M_Cleaning,M_HEALTH_BEAUTY,M_SPORTS_OUTDOOR,M_MAGAZINES,M_GROSSERIES,M_PLANTS_ANIMALS,M_CLOTHES,M_BABY,M_ENTERTAINMENT,M_COMPUTERS,M_SOUND_IMAGE,M_APPLIANCES,M_SUM,F_MAX,validate1,validate2,validate3,validate4,validate5,Loyalty
222,4,7,220.5,28,54,5,4,2,0,0,2,1,1,3,0,4,1,0,0,0,0,29.78,7.07,66.98,2.17,6.97,0,0,1.99,5.65,0,89.9,9.99,0,0,0,0,220.5,5,0,0,0,0,0,3
223,0,30,897.06,32,326,26,2,0,0,0,3,20,0,27,0,0,0,0,0,0,0,531.35,10.98,0,13.87,135.48,0,0,0,205.38,0,0,0,0,0,0,0,897.06,27,0,0,0,0,0,30
225,0,33,1505.49,51,546,32,26,0,0,0,1,20,1,30,1,1,0,0,0,0,0,635.31,125.87,0,13.99,175.22,0,0,0.79,544.53,1.79,3.99,0,0,0,0,0,1501.49,32,0,4,0,0,0,33
226,0,51,4999.56,57,2748,50,44,3,1,0,16,27,4,47,12,4,0,0,0,0,0,2761.65,343.44,9,125.81,574,4.31,0,5.39,977.7,32.24,165.82,0,0,0,0,0,4999.36,50,0,0.2,0,0,0,51
227,49,2,21.64,16,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3.56,0,0,3.99,0,0,0,12.72,1.37,0,0,0,0,0,0,0,21.64,1,0,0,0,0,0,-47
228,0,38,3368.55,73,1362,37,35,3,1,0,12,33,9,37,10,10,0,0,0,0,0,1114.98,401.09,27.88,54.7,760.47,22.36,0,50.15,815.99,31.07,86.86,0,0,0,0,0,3365.55,37,0,3,0,0,0,38
229,1,12,211.37,16,83,8,5,1,0,0,2,3,0,8,0,0,0,0,0,0,0,36.63,22.26,12.99,1.98,84.24,0,0,0,50.27,0,0,0,0,0,0,0,208.37,8,0,3,0,0,0,11
230,0,45,3416.44,56,938,44,36,2,0,0,10,28,3,38,20,2,0,0,0,0,0,2176.86,126.04,64.97,51.75,284.35,0,0,17.44,481.22,116.86,95.95,0,0,0,0,0,3415.44,44,0,1,0,0,0,45
231,30,13,978.45,17,474,13,12,0,0,0,2,12,3,13,0,0,0,0,0,0,0,291.27,117.32,0,12.92,284.01,0,0,3.87,269.06,0,0,0,0,0,0,0,978.45,13,0,0,0,0,0,-17
232,1,29,687.64,36,64,10,1,1,0,0,11,0,4,15,2,2,0,0,0,0,0,131.95,0.79,8.99,265.64,0,0,0,70.82,110.52,9.97,88.96,0,0,0,0,0,687.64,15,0,0,0,0,0,28
233,0,33,954.69,49,309,32,16,0,0,0,2,14,2,22,0,0,0,0,0,0,0,501.72,176.26,0,6.27,165.21,0,0,1.85,103.38,0,0,0,0,0,0,0,954.69,32,0,0,0,0,0,33
234,37,1,7.9,17,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,7.9,1,0,0,0,0,0,-36
235,0,52,1446.79,74,1041,48,52,0,1,0,2,23,0,46,25,0,0,0,0,0,0,684.17,493.15,0,8.48,60.03,3.59,0,0,174.78,21.24,0,0,0,0,0,0,1445.44,52,0,1.35,0,0,0,52
236,0,39,804.27,56,303,38,1,1,0,0,0,4,2,21,5,0,0,0,0,0,0,664.08,0.99,1.99,0,15.53,0,0,2.6,97.56,21.52,0,0,0,0,0,0,804.27,38,0,0,0,0,0,39
237,37,2,48.36,16,30,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,19.08,5.64,0,0,18.6,0,0,1.77,3.27,0,0,0,0,0,0,0,48.36,1,0,0,0,0,0,-35
238,1,31,1008.44,22,260,28,18,0,0,0,3,17,4,25,1,1,0,0,0,0,0,547.48,129.87,0,10.47,143.22,0,0,7.83,155.58,1,12.99,0,0,0,0,0,1008.44,28,0,0,0,0,0,30
239,0,46,4070.82,46,1051,41,42,2,5,0,13,41,6,41,15,1,0,0,0,0,0,1063.59,1105.77,42.55,246.6,652.1,118.61,0,53.83,631.14,129.66,26.97,0,0,0,0,0,4070.82,42,0,0,0,0,0,46
240,0,52,1175.67,68,519,35,52,0,0,0,1,12,0,29,0,0,0,0,0,0,0,304.58,580.99,0,9.99,59.76,0,0,0,220.35,0,0,0,0,0,0,0,1175.67,55,0,0,0,0,0,52
241,8,9,92.64,30,54,8,1,0,0,0,0,4,1,3,0,0,0,0,0,0,0,64.92,1.69,0,0,4.23,0,0,1.69,20.11,0,0,0,0,0,0,0,92.64,8,0,0,0,0,0,1
242,0,13,718.88,35,261,12,4,2,0,0,5,8,1,11,1,0,0,0,0,0,0,289.07,48.56,34.97,133.84,117.72,0,0,2.99,84.76,6.97,0,0,0,0,0,0,718.88,12,0,0,0,0,0,13
244,4,23,1909,34,683,21,13,2,5,0,9,19,3,20,14,3,0,0,0,0,0,717.46,154.25,28.98,65.07,344.19,108.44,0,19.59,324.47,85.12,60.93,0,0,0,0,0,1908.5,21,0,0.5,0,0,0,19
245,1,29,1573.01,49,750,28,24,0,0,0,8,13,4,22,10,1,0,0,0,0,0,806.57,252.17,0,38.69,123.46,0,0,7.06,287.53,53.54,3.99,0,0,0,0,0,1573.01,28,0,0,0,0,0,28
246,1,13,936.53,27,338,13,6,0,0,0,3,11,3,12,0,0,0,0,1,0,0,405.55,104.86,0,48.13,191.11,0,0,14.73,137.17,0,0,0,0,34.98,0,0,936.53,13,0,0,0,0,0,12
249,6,14,368.5,20,136,14,5,0,0,0,3,6,1,10,2,0,0,0,0,0,0,159.81,24.88,0,22.56,46.16,0,0,6.99,104.62,3.48,0,0,0,0,0,0,368.5,14,0,0,0,0,0,8
251,1,50,3150.84,65,1504,50,48,1,7,0,18,46,2,50,13,0,0,0,0,0,0,1476.66,302.67,16.99,68.21,275.19,37.43,0,3.96,942.9,26.83,0,0,0,0,0,0,3150.84,50,0,0,0,0,0,49
